Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches,-9999
415,Jay Rodriguez,eng ENG,FW,Burnley,32,1989,15.4,0.13,2.66,0.71,26.8,2.67,0.72,0.05,0.18,14.2,0.00,0.00,0.00,0.31,0.31,0.11,-0.18,-0.18,Matches,4ab53cdb
416,Mads Roerslev,dk DEN,DF,Brentford,22,1999,13.8,0.07,0.36,0.14,40.0,0.36,0.15,0.20,0.50,17.5,0.00,0.00,0.00,0.02,0.02,0.06,0.05,0.05,Matches,57c94db2
417,Cristian Romero,ar ARG,DF,Tottenham,23,1998,20.5,0.05,0.29,0.10,33.3,0.29,0.10,0.17,0.50,13.3,0.00,0.00,0.00,0.03,0.03,0.11,0.01,0.01,Matches,a3d94a58
418,Oriol Romeu,es ESP,MF,Southampton,29,1991,32.1,0.06,0.78,0.12,16.0,0.78,0.12,0.08,0.50,20.9,0.00,0.00,0.00,0.04,0.04,0.05,0.02,0.02,Matches,4b511457
419,Cristiano Ronaldo,pt POR,FW,Manchester Utd,36,1985,27.3,0.66,3.96,1.43,36.1,3.96,1.43,0.14,0.38,15.0,0.29,0.11,0.11,0.60,0.52,0.13,0.05,0.03,Matches,dea698d9
420,Salomón Rondón,ve VEN,FW,Everton,31,1989,8.8,0.11,2.39,0.68,28.6,2.39,0.68,0.05,0.17,11.6,0.00,0.00,0.00,0.25,0.25,0.10,-0.14,-0.14,Matches,b318a643
421,Danny Rose,eng ENG,DF,Watford,31,1990,7.7,0.00,0.52,0.13,25.0,0.52,0.13,0.00,0.00,19.7,0.00,0.00,0.00,0.03,0.03,0.04,-0.03,-0.03,Matches,89d10e53
422,Jon Rowe,eng ENG,FWMF,Norwich City,18,2003,2.5,0.00,1.20,0.80,66.7,1.21,0.81,0.00,0.00,15.6,0.00,0.00,0.00,0.16,0.16,0.13,-0.16,-0.16,Matches,8c12f884
423,John Ruddy,eng ENG,GK,Wolves,34,1986,1.5,0.00,0.00,0.00,,0.00,0.00,,,,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,Matches,da8b19e2
424,Antonio Rüdiger,de GER,DF,Chelsea,28,1993,33.7,0.09,1.42,0.39,27.1,1.42,0.39,0.06,0.23,19.5,0.00,0.00,0.00,0.08,0.08,0.06,0.01,0.01,Matches,18b896d6
425,Lukas Rupp,de GER,MF,Norwich City,30,1991,8.5,0.00,1.41,0.24,16.7,1.40,0.23,0.00,0.00,19.4,0.00,0.00,0.00,0.08,0.08,0.06,-0.08,-0.08,Matches,3faa1780
