Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG,Matches
459,Oliver Skipp,eng ENG,MF,Tottenham,20,2000,15.0,0,4,1,25.0,0.27,0.07,0.00,0.00,24.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
460,William Smallbone,ie IRL,MFFW,Southampton,21,2000,1.5,0,1,0,0.0,0.68,0.00,0.00,,17.5,0,0,0,0.1,0.1,0.08,-0.1,-0.1,Matches
461,Emile Smith Rowe,eng ENG,MFFW,Arsenal,21,2000,21.3,10,40,23,57.5,1.87,01.08,0.25,0.43,15.5,0,0,0,5.8,5.8,0.14,+4.2,+4.2,Matches
462,Cédric Soares,pt POR,DF,Arsenal,29,1991,16.5,1,12,1,8.3,0.73,0.06,0.08,1.00,21.7,2,0,0,0.5,0.5,0.04,+0.5,+0.5,Matches
463,Tomáš Souček,cz CZE,MF,West Ham,26,1995,34.0,5,45,11,24.4,1.32,0.32,0.11,0.45,11.9,0,0,0,4.8,4.4,0.10,+0.2,+0.6,Matches
464,Boubakary Soumaré,fr FRA,MF,Leicester City,22,1999,12.2,0,6,2,33.3,0.49,0.16,0.00,0.00,17.4,0,0,0,0.4,0.4,0.07,-0.4,-0.4,Matches
465,Çağlar Söyüncü,tr TUR,DF,Leicester City,25,1996,27.7,1,8,1,12.5,0.29,0.04,0.13,1.00,12.0,0,0,0,1.4,1.4,0.17,-0.4,-0.4,Matches
466,Tony Springett,eng ENG,FWMF,Norwich City,18,2002,1.6,0,1,1,100.0,0.64,0.64,0.00,0.00,13.0,0,0,0,0.3,0.3,0.27,-0.3,-0.3,Matches
467,Jason Steele,eng ENG,GK,Brighton,30,1990,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
468,Jed Steer,eng ENG,GK,Aston Villa,28,1992,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
469,Zack Steffen,us USA,GK,Manchester City,26,1995,1.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
470,Dale Stephens,eng ENG,MF,Burnley,32,1989,1.4,0,1,0,0.0,0.73,0.00,0.00,,21.0,0,0,0,0.0,0.0,0.03,0.0,0.0,Matches
471,Jack Stephens,eng ENG,DF,Southampton,27,1994,9.0,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
472,Raheem Sterling,eng ENG,FW,Manchester City,26,1994,23.6,13,54,25,46.3,2.28,01.06,0.20,0.44,13.8,0,2,3,14.4,12.0,0.22,-1.4,-1.0,Matches
473,Finley Stevens,wls WAL,DF,Brentford,18,2003,0.2,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
474,John Stones,eng ENG,DF,Manchester City,27,1994,12.4,1,9,5,55.6,0.72,0.40,0.11,0.20,12.8,0,0,0,1.0,1.0,0.12,0.0,0.0,Matches
475,Pascal Struijk,nl NED,DF,Leeds United,21,1999,22.8,1,11,3,27.3,0.48,0.13,0.09,0.33,7.8,0,0,0,1.3,1.3,0.12,-0.3,-0.3,Matches
476,Crysencio Summerville,nl NED,MFFW,Leeds United,19,2001,1.4,0,2,0,0.0,1.38,0.00,0.00,,11.9,0,0,0,0.3,0.3,0.13,-0.3,-0.3,Matches
477,Jakob Sørensen,dk DEN,MFDF,Norwich City,23,1998,6.7,0,5,1,20.0,0.75,0.15,0.00,0.00,14.4,0,0,0,0.4,0.4,0.08,-0.4,-0.4,Matches
478,Japhet Tanganga,eng ENG,DF,Tottenham,22,1999,8.2,0,7,2,28.6,0.86,0.24,0.00,0.00,13.1,0,0,0,0.4,0.4,0.05,-0.4,-0.4,Matches
479,Matt Targett,eng ENG,DF,Aston Villa,25,1995,15.9,1,7,2,28.6,0.44,0.13,0.14,0.50,13.4,0,0,0,0.5,0.5,0.07,+0.5,+0.5,Matches
480,Matt Targett,eng ENG,DF,Newcastle Utd,25,1995,16.0,0,6,3,50.0,0.37,0.19,0.00,0.00,16.4,0,0,0,0.3,0.3,0.05,-0.3,-0.3,Matches
481,James Tarkowski,eng ENG,DF,Burnley,28,1992,34.5,1,23,6,26.1,0.67,0.17,0.04,0.17,10.6,0,0,0,2.0,2.0,0.09,-1.0,-1.0,Matches
482,Nuno Tavares,pt POR,DF,Arsenal,21,2000,13.1,1,23,2,8.7,1.76,0.15,0.04,0.50,19.8,0,0,0,1.5,1.5,0.06,-0.5,-0.5,Matches
483,Charlie Taylor,eng ENG,DF,Burnley,27,1993,30.3,0,7,0,0.0,0.23,0.00,0.00,,21.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2,Matches
484,Nathan Tella,eng ENG,MFFW,Southampton,22,1999,8.9,0,12,5,41.7,1.34,0.56,0.00,0.00,20.9,0,0,0,0.5,0.5,0.04,-0.5,-0.5,Matches
485,Alex Telles,br BRA,DF,Manchester Utd,28,1992,18.4,0,10,3,30.0,0.54,0.16,0.00,0.00,23.0,4,0,0,0.5,0.5,0.05,-0.5,-0.5,Matches
486,Luke Thomas,eng ENG,DF,Leicester City,20,2001,21.2,0,4,0,0.0,0.19,0.00,0.00,,18.6,0,0,0,0.2,0.2,0.05,-0.2,-0.2,Matches
487,Dominic Thompson,eng ENG,DF,Brentford,21,2000,1.6,0,1,0,0.0,0.62,0.00,0.00,,18.0,0,0,0,0.0,0.0,0.02,0.0,0.0,Matches
488,Youri Tielemans,be BEL,MF,Leicester City,24,1997,29.2,6,57,15,26.3,1.95,0.51,0.07,0.27,24.4,0,2,2,4.6,3.1,0.06,+1.4,+0.9,Matches
489,Kieran Tierney,sct SCO,DF,Arsenal,24,1997,21.3,1,15,5,33.3,0.70,0.23,0.07,0.20,21.2,0,0,0,0.7,0.7,0.05,+0.3,+0.3,Matches
490,Takehiro Tomiyasu,jp JPN,DF,Arsenal,22,1998,18.7,0,11,2,18.2,0.59,0.11,0.00,0.00,16.1,0,0,0,0.8,0.8,0.08,-0.8,-0.8,Matches
491,James Tomkins,eng ENG,DF,Crystal Palace,32,1989,6.1,1,4,2,50.0,0.66,0.33,0.25,0.50,12.0,0,0,0,0.6,0.6,0.14,+0.4,+0.4,Matches
492,Ivan Toney,eng ENG,FW,Brentford,25,1996,32.3,12,83,24,28.9,2.57,0.74,0.08,0.29,15.1,0,5,5,12.0,8.2,0.10,0.0,-1.2,Matches
493,Ferrán Torres,es ESP,FW,Manchester City,21,2000,3.4,2,13,4,30.8,3.86,1.19,0.15,0.50,14.1,0,0,0,2.5,2.5,0.19,-0.5,-0.5,Matches
494,Cenk Tosun,tr TUR,FW,Everton,30,1991,0.1,0,0,0,,0.00,0.00,,,,0,0,0,0.0,0.0,,0.0,0.0,Matches
495,Andros Townsend,eng ENG,MF,Everton,30,1991,16.2,3,20,9,45.0,1.24,0.56,0.10,0.22,21.2,4,1,1,2.3,1.5,0.07,+0.7,+0.5,Matches
496,Adama Traoré,es ESP,FW,Wolves,25,1996,11.9,1,23,6,26.1,1.94,0.51,0.04,0.17,18.9,0,0,0,2.4,2.4,0.11,-1.4,-1.4,Matches
